204,0.0738,0.4000,4110
201,0.1342,0.4000,4217
199,0.1825,0.4000,4324
198,0.2212,0.4000,4431
197,0.2528,0.4000,4537
202,0.2398,0.4000,4644
202,0.2677,0.4000,4750
202,0.2894,0.4000,4857
202,0.3074,0.4000,4963
202,0.3210,0.4000,5070
209,0.2948,0.4000,5176
209,0.3110,0.4000,5283
210,0.3240,0.4000,5390
204,0.3758,0.4000,5497
204,0.3794,0.4000,5603
212,0.3411,0.4000,5710
208,0.3794,0.4000,5816
210,0.3758,0.4000,5923
211,0.3794,0.4000,6029
213,0.3758,0.4000,6136
214,0.3794,0.4000,6242
216,0.3723,0.4000,6350
212,0.4117,0.4000,6456
218,0.3758,0.4000,6563
213,0.4145,0.4000,6669
221,0.3758,0.4000,6776
216,0.4145,0.4000,6882
212,0.4443,0.4000,6989
214,0.4313,0.4000,7095
210,0.4578,0.4000,7202
212,0.4414,0.4000,7309
208,0.4659,0.4000,7416
205,0.4865,0.4000,7522
207,0.4644,0.4000,7629
204,0.4853,0.4000,7735
206,0.4634,0.4000,7842
202,0.4845,0.4000,7948
205,0.4628,0.4000,8055
201,0.4840,0.4000,8161
204,0.4617,0.4000,8269
200,0.4832,0.4000,8375
202,0.4617,0.4000,8482
198,0.4832,0.4000,8588
201,0.4617,0.4000,8695
203,0.4452,0.4000,8801
199,0.4689,0.4000,8908
201,0.4510,0.4000,9014
197,0.4736,0.4000,9121
199,0.4540,0.4000,9228
195,0.4760,0.4000,9335
197,0.4566,0.4000,9441
199,0.4405,0.4000,9548
195,0.4662,0.4000,9654
197,0.4481,0.4000,9761
199,0.4344,0.4000,9867
194,0.4602,0.4000,9974
196,0.4441,0.4000,10080
198,0.4290,0.4000,10189
193,0.4560,0.4000,10296
195,0.4392,0.4000,10404
191,0.4641,0.4000,10511
193,0.4458,0.4000,10619
195,0.4318,0.4000,10726
190,0.4561,0.4000,10835
192,0.4400,0.4000,10942
194,0.4265,0.4000,11050
189,0.4540,0.4000,11157
191,0.4376,0.4000,11265
201,0.3758,0.4000,11372
195,0.4124,0.4000,11480
203,0.3689,0.4000,11589
202,0.3758,0.4000,11696
